path,formula
2013/120_em_292.png,(y-y^{calc})
2013/118_em_221.png,2sp_{z}
2013/rit_4235_3.png,\frac {5} {6}
2013/rit_42160_3.png,\frac {2} {\frac {1} {x} + \frac {1} {y}}
2013/116_em_162.png,L(w)=\frac{m}{2}||w||^2-V(r)
2013/rit_4255_0.png,\log _ {a} a
2013/rit_4280_1.png,x ^ {3} + a x + b
2013/rit_4215_4.png,\log \log n
2013/125_em_449.png,\Delta_{r}H
2013/rit_425_1.png,\frac {h - y} {h}
2013/128_em_524.png,q_ip_j
2013/127_em_502.png,E_p = \frac{1}{2} k x^2 - F x
2013/118_em_231.png,"A(0, R, \infty)"
2013/105_em_88.png,M(22)
2013/123_em_373.png,S_2=S_0+f_2
2013/125_em_424.png,VA = 	\sum_{i}VA(F_{i})
2013/118_em_220.png,A = \pi . Ra . Rb
2013/124_em_420.png,F_u = M_{u u} M_v + M_{u v} M_u
2013/103_em_1.png,e^v = c(1)
2013/127_em_492.png,P = (Vce.Ic + Vbe.Ib).RC
2013/127_em_503.png,\int_{a}^{b} X_t \mathrm dB_t
2013/105_em_82.png,T_N = 100
2013/124_em_392.png,(A_{N-1} \dots A_0) = N_k
2013/rit_42125_0.png,\frac {- 1} {sin ^ {2} x}
2013/rit_4240_1.png,\tan \theta = \frac {\mathrm{sin} \theta} {\mathrm{cos} \theta}
2013/105_em_60.png,c_1(\alpha -E) + c_2(\beta) = 0
2013/115_em_145.png,f(H)
2013/106_em_91.png,y\times y^{\prime}-x\times x^{\prime}\geq 0
2013/125_em_430.png,L(X^n)=2^n
2013/104_em_51.png,S_{n+1}=S_nS_{n-1}
2013/rit_42145_4.png,\sum c _ {n}
2013/128_em_541.png,Nsyn
2013/120_em_287.png,Imf
2013/116_em_182.png,\Delta \theta = 0
2013/rit_4240_0.png,57753336
2013/rit_4235_1.png,- \mathrm{sin} x
2013/123_em_374.png,10^{-pH_i}
2013/105_em_80.png,S^{4m+1}
2013/126_em_470.png,"a_n(f,S)"
2013/123_em_389.png,z^2+w^2
2013/116_em_172.png,{E_{\theta_2}}
2013/116_em_167.png,2^{2^N}
2013/rit_42115_0.png,z _ {1} + z _ {2} + z _ {3}
2013/126_em_452.png,||f||^2 = \frac {1}{4} a_0^2 +\frac {1}{2} \sum_{n=1}^{+\infty}(a_n^2+b_n^2)
2013/rit_42135_1.png,\exists x \forall y (x R y)
2013/rit_4265_1.png,x + y
2013/127_em_491.png,"u_1,u_2,\ldots,u_N"
2013/116_em_174.png,VdP = -nPdV
2013/126_em_467.png,\mathrm df(x)
2013/122_em_341.png,E_0
2013/121_em_314.png,"E,F"
2013/rit_4210_4.png,\frac {9} {7}
2013/117_em_188.png,\left|V_s\right|=\frac{V_s}{V_e}
2013/rit_4225_2.png,8 \sqrt {3}
2013/122_em_350.png,"L=2^{1/4} \mathrm{m}=118,9 \mathrm{cm}"
2013/rit_4255_1.png,\sqrt {x +} y \leq \sqrt {x} + \sqrt {y}
2013/rit_4270_0.png,x \leq y
2013/118_em_222.png,E = \sqrt{p^2c^2 + m^2c^4}
2013/123_em_379.png,T(t) = \frac {\alpha^{\prime}(t)}{|| \alpha^{\prime}(t) ||}
2013/117_em_214.png,\int_a^b e^{M f(x)}dx
2013/104_em_43.png,TX_i=X_{i+1}
2013/128_em_522.png,2^\frac { N}{2}
2013/105_em_86.png,A^n+\ldots+c_0I_n
2013/129_em_542.png,\sqrt [3] a
2013/rit_4255_2.png,x \rightarrow b
2013/128_em_520.png,tw(G)
2013/122_em_359.png,P[X]=0 avec P[X]=X^3-3X+1
2013/rit_4275_3.png,\frac {2 x - 8} {4 x - 8}
2013/124_em_409.png,\sigma = \frac {F }{ S}
2013/117_em_198.png,Nu= 0.13(Pr.Gr)^{0.33}
2013/106_em_108.png,P_{nmm}
2013/rit_42165_0.png,x ^ {2} + y ^ {2} + z ^ {2}
2013/128_em_515.png,||x+y||^2 =||x||^2 + ||y||^2
2013/106_em_96.png,I_{1} = I_{1_{mi}} + \frac{V_e}{L_1} t
2013/126_em_473.png,"d(u,v)=\sum_{n=0}^\infty 2^{-n}\frac {p_n(v-u)}{1+p_n(v-u)}"
2013/105_em_65.png,{\sqrt{2} = \frac{p}{q}}
2013/rit_4225_3.png,\frac {56} {8}
2013/rit_4225_0.png,5 div 3 \neq 3 div 5
2013/124_em_407.png,f = \frac{1}{T}
2013/125_em_440.png,L = a
2013/106_em_109.png,p=\frac{2(N_0-N_t)}{2N_0}
2013/120_em_293.png,p_A = u + c [L + \frac{1}{3}(a-b)]
2013/122_em_352.png,"L = [0,1]"
2013/116_em_179.png,E[X] = \mu E[(X-\mu)^2] = \sigma^2
2013/ritm_423_0.png,\lambda e ^ {- \lambda e}
2013/103_em_10.png,"w_k( x ) = \frac{1}{d( x , x _k)^p}"
2013/126_em_465.png,"a,b,c,a^{\prime},b^{\prime},c^{\prime}"
2013/121_em_303.png,I_{moy}
2013/rit_42190_1.png,P (2 + Y) = 4 Y ^ {3} + 17 Y ^ {2} + 23 Y
2013/rit_425_3.png,h \rightarrow x
2013/127_em_487.png,I(t) = I\sqrt{2}\mathrm{cos}{(wt+\phi)}
2013/rit_42120_4.png,\lim _ {x \rightarrow + \infty} \frac {e ^ {x}} {x}
2013/122_em_340.png,u\neq v
2013/rit_42100_1.png,\mathrm{cos} x - \sqrt {- 1} \mathrm{sin} x
2013/124_em_418.png,S=0
2013/rit_42140_1.png,\frac {\pi ^ {2}} {6} B ^ {2}
2013/115_em_132.png,"L_0, L_1, \ldots"
2013/rit_42115_4.png,\frac {1} {z}
2013/118_em_235.png,c(w)
2013/105_em_62.png,f^{\prime}(x) = 2ax + b
2013/rit_4230_4.png,\tan x = \frac {\mathrm{sin} x} {\mathrm{cos} x}
2013/124_em_397.png,"d(A,(d))=|x_A - a|"
2013/123_em_375.png,E_1 = E_0/(16 \pi^2)
2013/106_em_105.png,V.f(p) = NkT
