path,formula
HAMEX/formulaire002-equation071.png,\frac{9}{5}
HAMEX/formulaire015-equation028.png,X^3 - X^2 -2X +1 = 0
MathBrush/200923-1253-172.png,\mbox { HiN }
2016/UN_116_em_333.png,\sqrt{-\Delta c}
MfrDB/MfrDB1558.png,\log 5 + \log 4 x = 2
HAMEX/formulaire031-equation042.png,X_{ij}
2014/31_em_191.png,\sum_{j=1}^m a_j e_j
2016/UN_460_em_847.png,9\times 9
KAIST/KME2G3_21_sub_95.png,\sqrt {1 + \sqrt {2 + \sqrt {3 + \sqrt{4}}}}
MathBrush/200923-1251-279.png,{ { 5 - z } \leq \mbox { x } }
KAIST/TrainData1_5_sub_5.png,e^{i \pi} + 1 = 0
MathBrush/200924-1312-288.png,{ p } ^ { y }
HAMEX/formulaire011-equation025.png,111 - 180 - 197 \leq -265
MathBrush/200923-1553-113.png,\sqrt { { - 4 } }
MfrDB/MfrDB1557.png,3 x - 5 < - 2
2014/519_em_452.png,- \frac {1} {6 x^6} + c
2016/UN_110_em_231.png,x^1+x^3+x^5=b
2016/UN_459_em_823.png,\sum_a j_a+1
MathBrush/200923-1253-163.png,{ \sqrt { \mbox { N } } } ^ { f }
MathBrush/2009212-1031-47.png,E
MfrDB/MfrDB3903.png,\frac{5}{x + 1} + \frac{5}{{x^{2}} + x}
2014/34_em_246.png,{v} = (v_x v_y v_z)
KAIST/TrainData2_22_sub_88.png,3 0 \times 2 9 x^{2 8}
KAIST/TrainData2_12_sub_20.png,a + b + c + d + e
2016/UN_452_em_635.png,z_{ab} = z_a - z_b
MfrDB/MfrDB2225.png,2 + 3 = 5
MathBrush/2009210-947-151.png,\mu
MathBrush/200925-1126-13.png,\sqrt { 1 + \sqrt { 1 + z ^ 2 } }
HAMEX/formulaire004-equation052.png,t \rightarrow \infty
2016/UN_122_em_470.png,Y_0 + Y_4 + Y_8 + \ldots
2014/515_em_364.png,\mathrm{sin} x-\mathrm{sin} y=2\mathrm{cos} \left( \frac{x+y}{2} \right)
2016/UN_117_em_355.png,t_1t_2+t_2t_3+t_3t_1
2016/UN_125_em_567.png,2^{\frac{1}{4}}\left(\frac{5+\sqrt{5}}{5-\sqrt{5}} \right)^{\frac{1}{4}}
MathBrush/2009213-137-80.png,e ^ { \int x ^ 2 d x }
HAMEX/formulaire019-equation047.png,dt = dt_0
MathBrush/200923-1254-156.png,\mbox { f }
MathBrush/200923-1553-126.png,\mbox { MH }
HAMEX/formulaire016-equation056.png,yz=zy
MfrDB/MfrDB2162.png,\mathrm{cos}^{3} y = \frac{1}{4} ( \mathrm{cos} 3 y + 3 \mathrm{cos} y )
MfrDB/MfrDB1576.png,\int\limits_{0}^{1} \frac{{x^{3}}}{{e^{x}} - 1} dx = \frac{{\pi^{4}}}{15}
MathBrush/200923-1254-191.png,\mu
expressmatch/107_Fabricio.png,a^2 + b^2 = (a+bi)(a-bi)
KAIST/TrainData2_0_sub_43.png,\frac{2 \tan \alpha}{1 - \tan^{2} \alpha}
HAMEX/formulaire036-equation029.png,"(1, i, j, k)"
KAIST/TrainData2_8_sub_51.png,\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
KAIST/TrainData2_16_sub_73.png,\alpha_{n + 1} - 3 \beta = \frac{2}{3} \alpha_{n} + \beta - 3 \beta
KAIST/TrainData2_24_sub_63.png,\frac{1}{a} F \left( a x + b \right) + C
MfrDB/MfrDB1079.png,1 + 1 = 2
MathBrush/200923-131-292.png,\left [ { \mbox { p } + \mbox { s } } \right ]
2013/120_em_290.png,(\mu+1)
HAMEX/formulaire032-equation065.png,(162 / 155) + 6 = 7.05
KAIST/KME2G3_13_sub_65.png,[ \frac{2}{3} x^{\frac{3}{2}} ]_0^1
MathBrush/200923-1553-152.png,S
HAMEX/formulaire019-equation073.png,125 = 5^{1 + 2}
HAMEX/formulaire021-equation006.png,ax^4 + bx^2 + c
expressmatch/108_Willian.png,a^xa^y = a^{x+y}
2016/UN_452_em_648.png,u+\frac{u_{n}}{2}
KAIST/TrainData2_18_sub_39.png,\mathrm{sin} x - \mathrm{sin} y - \mathrm{sin} \left( x - y \right)
MfrDB/MfrDB3035.png,\sum_{n = 1}^{\infty} ( b_{n} - b_{n + 1} )
2014/26_em_76.png,-mp
MfrDB/MfrDB1291.png,\lim_{x \to 0} \frac{1 - \mathrm{cos} x}{x} = 0
HAMEX/formulaire011-equation054.png,u^3 = 2 + \sqrt{-121} = 2 + 11\sqrt{-1}
MathBrush/200923-1553-83.png,\mbox { jS }
KAIST/KME2G3_1_sub_65.png,[ \frac{2}{3} x^{\frac{3}{2}} ]_0^1
MathBrush/200922-947-116.png,{ \mbox { X } 5.7 }
MathBrush/200924-1312-214.png,{ \mbox { d } } ^ { { \cdots + A } }
KAIST/TrainData2_7_sub_29.png,x^{i + 2 j \times k^{3} - 2 \frac{j}{i}}
2014/507_em_74.png,\mathrm{cos} 4 \theta + i \mathrm{sin} 4 \theta = { ( \mathrm{cos} \theta + i \mathrm{sin} \theta ) }^4
